chr	start	end	gene_id	strand	PAS
chr13	18413126	18431605	ENSG00000268486.6	+	18431605
chr13	18538879	18551214	ENSG00000231238.2	+	18551214
chr13	19173771	19181824	ENSG00000198033.13	-	19173771
chr13	19345048	19346749	ENSG00000236834.1	+	19346749
chr13	19408041	19409529	ENSG00000229791.1	-	19408041
chr13	19422875	19561625	ENSG00000132958.19	-	19422875
chr13	19863837	19866329	ENSG00000275964.2	+	19866329
chr13	20138254	20161052	ENSG00000121743.4	-	20138254
chr13	20181530	20181942	ENSG00000260131.1	+	20181942
chr13	21260014	21295003	ENSG00000235438.7	+	21295003
chr13	21302861	21362139	ENSG00000224429.10	-	21302861
chr13	21872762	21878256	ENSG00000226722.4	-	21872762
chr13	22926565	22934994	ENSG00000289217.2	+	22934994
chr13	22931536	22931999	ENSG00000283075.1	+	22931999
chr13	23418970	23428869	ENSG00000229558.2	+	23428869
chr13	23891098	23897502	ENSG00000205863.11	-	23891098
chr13	23979809	24035027	ENSG00000228741.2	+	24035027
chr13	24315724	24321598	ENSG00000240868.1	-	24315724
chr13	24331449	24337121	ENSG00000261498.1	+	24337121
chr13	24566872	24597676	ENSG00000243008.2	+	24597676
chr13	24586003	24597676	ENSG00000290443.1	+	24597676
chr13	24764168	24879921	ENSG00000132972.19	+	24879921
chr13	25300123	25301438	ENSG00000260509.2	-	25300123
chr13	26044596	26052016	ENSG00000180730.5	-	26044596
chr13	26094723	26154175	ENSG00000233963.2	-	26094723
chr13	27953525	27955370	ENSG00000260704.1	+	27955370
chr13	28136842	28138193	ENSG00000261485.1	-	28136842
chr13	29476514	29490105	ENSG00000179141.9	-	29476514
chr13	30022020	30023800	ENSG00000266505.1	-	30022020
chr13	30151885	30159621	ENSG00000232117.2	-	30151885
chr13	30340266	30377145	ENSG00000238121.7	-	30340266
chr13	30713477	30764426	ENSG00000132965.10	+	30764426
chr13	31739525	31803389	ENSG00000133105.8	+	31803389
chr13	33180400	33281584	ENSG00000236581.9	+	33281584
chr13	33336215	33336716	ENSG00000277386.1	-	33336215
chr13	33846189	33850825	ENSG00000276672.1	+	33850825
chr13	34925833	34928076	ENSG00000261728.1	-	34925833
chr13	35697486	35699938	ENSG00000236036.2	+	35699938
chr13	37103258	37105664	ENSG00000180138.7	-	37103258
chr13	37562582	37598844	ENSG00000133110.15	-	37562582
chr13	38965924	38990859	ENSG00000133115.12	-	38965924
chr13	40822295	40864352	ENSG00000168852.14	-	40822295
chr13	41229179	41229676	ENSG00000277662.1	-	41229179
chr13	42339187	42485956	ENSG00000283554.1	+	42485956
chr13	42562735	42608013	ENSG00000120659.16	+	42608013
chr13	43458464	43459484	ENSG00000238189.2	+	43459484
chr13	43877714	43878163	ENSG00000274001.1	-	43877714
chr13	43879283	43893932	ENSG00000179630.11	+	43893932
chr13	43883799	44028526	ENSG00000281883.1	+	44028526
chr13	43908668	44030461	ENSG00000233725.7	+	44030461
chr13	44234117	44256596	ENSG00000230731.3	-	44234117
chr13	44369364	44369877	ENSG00000277831.1	-	44369364
chr13	44684486	44715393	ENSG00000276527.1	-	44684486
chr13	45418161	45420371	ENSG00000251015.1	+	45420371
chr13	45702319	45714559	ENSG00000174015.10	+	45714559
chr13	45777241	45851753	ENSG00000215475.5	-	45777241
chr13	46296444	46297844	ENSG00000261097.1	-	46296444
chr13	46455130	46515958	ENSG00000231817.9	-	46455130
chr13	47930152	47932622	ENSG00000260388.2	-	47930152
chr13	48296161	48303720	ENSG00000231473.5	-	48296161
chr13	48340796	48341330	ENSG00000277684.1	-	48340796
chr13	48576973	48590587	ENSG00000233610.2	-	48576973
chr13	49628506	49633872	ENSG00000152213.4	+	49633872
chr13	49792885	49793307	ENSG00000276436.1	+	49793307
chr13	50049118	50049201	ENSG00000283785.1	-	50049118
chr13	50994510	51080862	ENSG00000123201.14	-	50994510
chr13	51180177	51180967	ENSG00000274652.1	+	51180967
chr13	51335772	51364735	ENSG00000253309.7	+	51364735
chr13	51861968	51866232	ENSG00000123171.8	+	51866232
chr13	52033610	52129092	ENSG00000197168.14	-	52033610
chr13	52132638	52159597	ENSG00000136098.18	-	52132638
chr13	52128890	52132723	ENSG00000273523.1	+	52132723
chr13	52167708	52194465	ENSG00000291010.1	-	52167708
chr13	52219343	52334277	ENSG00000290490.1	-	52219343
chr13	52703263	52739820	ENSG00000136110.13	-	52703263
chr13	53028812	53052057	ENSG00000102837.7	+	53052057
chr13	53193666	53198540	ENSG00000279325.1	+	53198540
chr13	53815418	53939960	ENSG00000261517.2	+	53939960
chr13	54938603	54986720	ENSG00000277047.5	+	54986720
chr13	55062944	55161490	ENSG00000278630.1	+	55161490
chr13	60916980	60945955	ENSG00000227510.4	+	60945955
chr13	60618990	61176758	ENSG00000225249.6	+	61176758
chr13	61424688	61427946	ENSG00000279797.1	-	61424688
chr13	61997135	62029572	ENSG00000229578.3	-	61997135
chr13	62212576	62249947	ENSG00000230142.2	+	62249947
chr13	62321304	62322398	ENSG00000227611.1	+	62322398
chr13	62672284	62796714	ENSG00000228669.2	-	62672284
chr13	63034667	63097797	ENSG00000273550.2	+	63097797
chr13	63667680	63738018	ENSG00000231061.1	-	63667680
chr13	63836993	63837456	ENSG00000219926.12	-	63836993
chr13	66825168	66915031	ENSG00000228842.3	+	66915031
chr13	66990885	67002007	ENSG00000233840.1	+	67002007
chr13	68861283	68885325	ENSG00000281778.1	-	68861283
chr13	70107212	70171738	ENSG00000230223.8	+	70171738
chr13	70137830	70139431	ENSG00000288330.1	-	70137830
chr13	71015041	71168417	ENSG00000226846.2	+	71168417
chr13	73413472	73661891	ENSG00000224853.3	-	73413472
chr13	73844682	73845130	ENSG00000279463.1	-	73844682
chr13	74419157	74444735	ENSG00000226240.2	+	74444735
chr13	74434537	74555515	ENSG00000281167.1	+	74555515
chr13	75549482	75606020	ENSG00000118939.19	+	75606020
chr13	75631270	75632135	ENSG00000228444.2	+	75632135
chr13	75871037	75883811	ENSG00000178734.5	+	75883811
chr13	75932394	75935132	ENSG00000261206.1	-	75932394
chr13	76013022	76014501	ENSG00000224933.2	-	76013022
chr13	76887550	76891135	ENSG00000278727.1	+	76891135
chr13	77027943	77028482	ENSG00000274898.1	+	77028482
chr13	77997908	78053604	ENSG00000229249.7	+	78053604
chr13	79804417	79805685	ENSG00000229011.1	+	79805685
chr13	81225864	81226983	ENSG00000260094.1	-	81225864
chr13	87607906	87609234	ENSG00000272515.1	-	87607906
chr13	87807633	87811232	ENSG00000272046.1	-	87807633
chr13	88494788	88607814	ENSG00000229443.2	+	88607814
chr13	88626852	88630397	ENSG00000261666.1	+	88630397
chr13	89214846	89236890	ENSG00000232225.6	-	89214846
chr13	89477607	89500509	ENSG00000226037.1	-	89477607
chr13	90060246	90119719	ENSG00000261446.4	-	90060246
chr13	91127612	91131407	ENSG00000229557.1	-	91127612
chr13	91994517	91996523	ENSG00000282997.1	+	91996523
chr13	92339793	92379536	ENSG00000232885.2	-	92339793
chr13	94574053	94596242	ENSG00000088451.11	-	94574053
chr13	94960040	94961319	ENSG00000260962.1	+	94961319
chr13	95479443	95533910	ENSG00000223392.1	-	95479443
chr13	95744725	95745765	ENSG00000276809.1	+	95745765
chr13	96948017	96949584	ENSG00000272329.1	+	96949584
chr13	97435945	97436168	ENSG00000276573.1	+	97436168
chr13	98175784	98177269	ENSG00000139797.8	-	98175784
chr13	98233649	98234700	ENSG00000269189.1	+	98234700
chr13	98435404	98435840	ENSG00000231194.1	-	98435404
chr13	98683800	98752672	ENSG00000088386.17	-	98683800
chr13	98832083	98834629	ENSG00000229918.1	+	98834629
chr13	99087818	99088625	ENSG00000260992.1	+	99088625
chr13	99254731	99261744	ENSG00000125245.14	-	99254731
chr13	99294538	99307399	ENSG00000169508.7	-	99294538
chr13	99690080	99690971	ENSG00000227659.1	-	99690080
chr13	99726244	99728971	ENSG00000234303.3	-	99726244
chr13	99994898	99997909	ENSG00000260738.1	-	99994898
chr13	100708324	101059286	ENSG00000233009.1	+	101059286
chr13	102589371	102589813	ENSG00000261057.1	-	102589371
chr13	102593337	102593873	ENSG00000276957.1	-	102593337
chr13	102685746	102695044	ENSG00000139780.8	-	102685746
chr13	102729366	102759072	ENSG00000175820.4	-	102729366
chr13	102888857	102889834	ENSG00000272542.1	+	102889834
chr13	102880039	102896033	ENSG00000250878.6	+	102896033
chr13	102903338	102904000	ENSG00000278445.1	+	102904000
chr13	103043997	103066417	ENSG00000125255.7	-	103043997
chr13	103420824	103428298	ENSG00000234551.2	+	103428298
chr13	106506045	106506713	ENSG00000274204.1	-	106506045
chr13	106653896	106672177	ENSG00000230156.3	+	106672177
chr13	106773622	106774279	ENSG00000278698.1	-	106773622
chr13	107465983	107466674	ENSG00000276740.1	-	107465983
chr13	107868822	107933503	ENSG00000286343.1	+	107933503
chr13	107870382	107873372	ENSG00000274718.1	+	107873372
chr13	108267319	108267734	ENSG00000277246.1	+	108267734
chr13	109281972	109297690	ENSG00000223617.2	+	109297690
chr13	109400695	109401641	ENSG00000229792.1	+	109401641
chr13	109984857	109986565	ENSG00000274331.1	-	109984857
chr13	110031100	110031567	ENSG00000276269.1	-	110031100
chr13	110053284	110054952	ENSG00000231428.2	+	110054952
chr13	110613081	110616353	ENSG00000275880.1	-	110613081
chr13	110809675	110813084	ENSG00000259831.1	-	110809675
chr13	111113811	111115678	ENSG00000235875.3	-	111113811
chr13	111588200	111672608	ENSG00000204398.5	+	111672608
chr13	112083548	112085471	ENSG00000260385.1	+	112085471
chr13	112197349	112201000	ENSG00000260102.2	+	112201000
chr13	112313466	112321758	ENSG00000260343.1	+	112321758
chr13	112376354	112434689	ENSG00000153498.12	+	112434689
chr13	112602827	112606417	ENSG00000277159.1	-	112602827
chr13	112745448	112754693	ENSG00000232684.1	-	112745448
chr13	112964834	112966131	ENSG00000267868.1	-	112964834
chr13	113165001	113165183	ENSG00000269125.1	-	113165001
chr13	113339449	113339958	ENSG00000276434.1	-	113339449
chr13	113527259	113530621	ENSG00000276248.1	+	113530621
chr13	113648803	113658198	ENSG00000186009.5	-	113648803
chr13	113667218	113737736	ENSG00000185974.7	+	113737736
chr13	113878488	113883651	ENSG00000226921.7	-	113878488
chr13	113877607	113879376	ENSG00000237699.2	+	113879376
chr13	113883666	113887149	ENSG00000274766.2	+	113887149
chr13	113888305	113923512	ENSG00000229373.9	+	113923512
chr14	19244961	19247673	ENSG00000257310.1	+	19247673
chr14	19244903	19269380	ENSG00000285990.1	-	19244903
chr14	19344577	19384587	ENSG00000274827.4	-	19344577
chr14	19420974	19425017	ENSG00000276888.1	+	19425017
chr14	20311367	20333312	ENSG00000100814.19	-	20311367
chr14	20365666	20413501	ENSG00000129566.13	-	20365666
chr14	20556092	20560931	ENSG00000188655.10	-	20556092
chr14	20745886	20748380	ENSG00000181562.5	+	20748380
chr14	20768403	20770948	ENSG00000181552.4	+	20770948
chr14	20874304	20875768	ENSG00000258642.1	-	20874304
chr14	20891384	20892348	ENSG00000169397.4	+	20892348
chr14	20919289	20920303	ENSG00000136315.6	+	20920303
chr14	20995836	21014822	ENSG00000258471.2	-	20995836
chr14	20999254	21001871	ENSG00000165794.10	+	21001871
chr14	21024171	21029271	ENSG00000258604.1	+	21029271
chr14	21032817	21034807	ENSG00000206150.4	-	21032817
chr14	21042315	21044234	ENSG00000165799.5	+	21044234
chr14	21108042	21116703	ENSG00000178107.2	+	21116703
chr14	21200078	21206900	ENSG00000258441.1	-	21200078
chr14	21280082	21351301	ENSG00000092200.13	+	21351301
chr14	21384285	21384936	ENSG00000260830.2	+	21384936
chr14	21385193	21456126	ENSG00000100888.15	-	21385193
chr14	22415361	22418657	ENSG00000259042.3	+	22418657
chr14	22462931	22465787	ENSG00000211829.9	+	22465787
chr14	22701475	22766562	ENSG00000258458.8	-	22701475
chr14	22773221	22829820	ENSG00000155465.21	-	22773221
chr14	23042211	23044060	ENSG00000222028.5	+	23044060
chr14	23372808	23376403	ENSG00000166090.8	+	23376403
chr14	23376772	23379772	ENSG00000166091.21	+	23379772
chr14	23412739	23435660	ENSG00000092054.13	-	23412739
chr14	23630114	23645639	ENSG00000100867.15	+	23645639
chr14	24130658	24132849	ENSG00000139914.7	+	24132849
chr14	24180218	24188869	ENSG00000196497.17	-	24180218
chr14	24188913	24193106	ENSG00000287765.1	+	24193106
chr14	24201611	24202811	ENSG00000278784.1	-	24201611
chr14	24249113	24264432	ENSG00000092295.12	-	24249113
chr14	24336024	24340022	ENSG00000129465.16	-	24336024
chr14	24426544	24430954	ENSG00000139899.11	-	24426544
chr14	24505352	24508265	ENSG00000092009.10	-	24505352
chr14	25124466	25156314	ENSG00000258098.2	-	25124466
chr14	25820365	25822741	ENSG00000279521.1	+	25822741
chr14	26592746	26594517	ENSG00000262119.1	-	26592746
chr14	26775494	26822107	ENSG00000257845.1	-	26775494
chr14	26598368	26806467	ENSG00000257842.6	+	26806467
chr14	28782908	28785798	ENSG00000257056.3	-	28782908
chr14	28875403	29064993	ENSG00000257523.3	-	28875403
chr14	29210985	29392048	ENSG00000257522.7	-	29210985
chr14	29390073	29436412	ENSG00000258107.3	+	29436412
chr14	29952396	30297043	ENSG00000248975.2	-	29952396
chr14	29940744	29980212	ENSG00000257904.1	+	29980212
chr14	30876178	30889808	ENSG00000258525.2	-	30876178
chr14	31420285	31452883	ENSG00000250365.7	+	31452883
chr14	31553357	31558498	ENSG00000258196.1	-	31553357
chr14	31944852	31950382	ENSG00000258474.1	+	31950382
chr14	34541043	34541714	ENSG00000279423.1	+	34541714
chr14	34874342	34876459	ENSG00000258738.1	+	34876459
chr14	35086034	35088059	ENSG00000279434.1	+	35088059
chr14	35534163	35537054	ENSG00000168348.4	+	35537054
chr14	36371164	36372383	ENSG00000290759.1	+	36372383
chr14	36519277	36523016	ENSG00000253563.2	+	36523016
chr14	36647082	36658801	ENSG00000258661.1	-	36647082
chr14	39397683	39432466	ENSG00000165355.8	-	39397683
chr14	41606875	41904549	ENSG00000165379.14	+	41904549
chr14	42362982	42703655	ENSG00000258394.1	+	42703655
chr14	42412572	42528888	ENSG00000258850.1	+	42528888
chr14	44392530	44393716	ENSG00000259126.1	-	44392530
chr14	44504148	44507283	ENSG00000189139.6	-	44504148
chr14	44898907	44911863	ENSG00000258949.1	-	44898907
chr14	45079848	45080189	ENSG00000278147.1	+	45080189
chr14	45083044	45083977	ENSG00000249163.3	-	45083044
chr14	45369214	45370839	ENSG00000260046.1	+	45370839
chr14	46651009	46651781	ENSG00000165496.5	-	46651009
chr14	49620798	49623481	ENSG00000168282.6	+	49623481
chr14	49693104	49753150	ENSG00000197776.8	+	49753150
chr14	49863071	49864379	ENSG00000278002.1	+	49864379
chr14	50108631	50116600	ENSG00000100483.14	-	50108631
chr14	50662510	50663178	ENSG00000269906.1	-	50662510
chr14	50723776	50724272	ENSG00000270062.1	-	50723776
chr14	50872052	50904970	ENSG00000131969.15	+	50904970
chr14	51765275	51825422	ENSG00000258535.1	+	51825422
chr14	51916144	51918571	ENSG00000258928.1	-	51916144
chr14	51982519	51987219	ENSG00000258854.1	-	51982519
chr14	52111121	52129625	ENSG00000258694.1	-	52111121
chr14	52267697	52276724	ENSG00000168229.4	+	52276724
chr14	56305837	56306394	ENSG00000275569.1	+	56306394
chr14	56648964	56730535	ENSG00000259133.5	-	56648964
chr14	57066259	57112660	ENSG00000258592.1	-	57066259
chr14	57355445	57359410	ENSG00000259008.1	+	57359410
chr14	58288032	58289158	ENSG00000279636.2	+	58289158
chr14	59504538	59576812	ENSG00000151838.12	-	59504538
chr14	60240120	60248765	ENSG00000254718.6	-	60240120
chr14	60323235	60323907	ENSG00000258556.1	+	60323907
chr14	61570404	61658696	ENSG00000232774.8	+	61658696
chr14	63543568	63544664	ENSG00000261242.1	+	63544664
chr14	64440368	64442238	ENSG00000272909.1	-	64440368
chr14	64552693	64596536	ENSG00000259076.1	-	64552693
chr14	65003324	65003767	ENSG00000272158.1	-	65003324
chr14	64986894	65062652	ENSG00000257365.8	+	65062652
chr14	66411703	66498677	ENSG00000196553.15	+	66498677
chr14	67386983	67412167	ENSG00000100558.9	-	67386983
chr14	68979681	68987463	ENSG00000259062.2	+	68987463
chr14	69154310	69154804	ENSG00000276063.1	+	69154804
chr14	69569798	69574871	ENSG00000267909.3	-	69569798
chr14	69617121	69617648	ENSG00000273797.1	+	69617648
chr14	70453540	70483775	ENSG00000290783.1	-	70453540
chr14	70417106	70460427	ENSG00000139985.8	+	70460427
chr14	70522357	70535015	ENSG00000134007.5	-	70522357
chr14	71141124	71143253	ENSG00000269927.1	-	71141124
chr14	71219099	71222724	ENSG00000269945.1	+	71222724
chr14	71734926	71739794	ENSG00000285518.1	-	71734926
chr14	72969450	73027131	ENSG00000165861.14	-	72969450
chr14	73057924	73059415	ENSG00000258813.2	-	73057924
chr14	73272181	73274081	ENSG00000258944.1	-	73272181
chr14	73537142	73543796	ENSG00000184227.8	+	73543796
chr14	73610944	73619888	ENSG00000205669.4	+	73619888
chr14	73711782	73714384	ENSG00000176903.5	-	73711782
chr14	73905266	73905636	ENSG00000270140.1	+	73905636
chr14	74471929	74472360	ENSG00000270000.1	-	74471929
chr14	75176219	75177418	ENSG00000273565.2	+	75177418
chr14	75238615	75269283	ENSG00000258740.1	-	75238615
chr14	75294403	75298109	ENSG00000259687.4	+	75298109
chr14	77024542	77028708	ENSG00000119669.5	-	77024542
chr14	77717598	77761207	ENSG00000100603.14	-	77717598
chr14	78703614	78709934	ENSG00000258874.1	-	78703614
chr14	79246667	79249023	ENSG00000258662.1	-	79246667
chr14	79661665	79791263	ENSG00000258637.1	-	79661665
chr14	80211418	80455469	ENSG00000258766.1	+	80455469
chr14	81441986	81450371	ENSG00000258675.2	-	81441986
chr14	81605337	81623086	ENSG00000258977.2	-	81605337
chr14	85385926	85388765	ENSG00000258814.2	+	85388765
chr14	85393827	85420550	ENSG00000259107.2	+	85420550
chr14	85516530	85529386	ENSG00000258945.2	+	85529386
chr14	86905777	86922755	ENSG00000258804.1	+	86922755
chr14	86936639	86989125	ENSG00000259061.1	+	86989125
chr14	87251102	87251679	ENSG00000258496.1	+	87251679
chr14	87568180	87569399	ENSG00000259028.1	+	87569399
chr14	87710418	87872291	ENSG00000258807.5	-	87710418
chr14	88158239	88160591	ENSG00000259998.1	-	88158239
chr14	88132584	88161459	ENSG00000258975.2	-	88132584
chr14	88175390	88180198	ENSG00000258538.5	+	88180198
chr14	88499333	88515502	ENSG00000258983.2	+	88515502
chr14	88612430	88792953	ENSG00000165521.16	-	88612430
chr14	88819607	88822151	ENSG00000274492.1	-	88819607
chr14	89576215	89577477	ENSG00000259073.1	+	89577477
chr14	89628920	89642671	ENSG00000258792.4	-	89628920
chr14	90402522	90405235	ENSG00000258424.1	-	90402522
chr14	90452062	90455127	ENSG00000258678.2	-	90452062
chr14	90453570	90490763	ENSG00000233208.6	+	90490763
chr14	90489009	90491637	ENSG00000259789.2	-	90489009
chr14	90642637	90648894	ENSG00000259163.2	+	90648894
chr14	90697332	90699374	ENSG00000258716.1	+	90699374
chr14	91418265	91421176	ENSG00000258798.1	+	91421176
chr14	92886351	92893508	ENSG00000258742.6	+	92893508
chr14	92905696	92907482	ENSG00000258499.1	-	92905696
chr14	92923149	92935285	ENSG00000100604.13	+	92935285
chr14	93334527	93335057	ENSG00000278396.1	+	93335057
chr14	94048286	94081202	ENSG00000089737.19	-	94048286
chr14	94127778	94130253	ENSG00000119632.4	-	94127778
chr14	94280459	94293268	ENSG00000140093.10	-	94280459
chr14	94442463	94452800	ENSG00000186910.4	-	94442463
chr14	94487273	94517844	ENSG00000165953.10	-	94487273
chr14	94770270	94774858	ENSG00000285205.2	+	94774858
chr14	94918252	94918734	ENSG00000274379.1	-	94918252
chr14	95828762	95866486	ENSG00000258516.2	-	95828762
chr14	96275045	96276723	ENSG00000258729.2	-	96275045
chr14	97110415	97119247	ENSG00000259026.1	-	97110415
chr14	97427070	97582146	ENSG00000246084.7	+	97582146
chr14	97632646	97686658	ENSG00000197176.7	-	97632646
chr14	98711612	98717761	ENSG00000176605.9	+	98717761
chr14	99169286	99272197	ENSG00000127152.18	-	99169286
chr14	99604516	99625740	ENSG00000247970.3	+	99625740
chr14	99691444	99693648	ENSG00000258672.1	-	99691444
chr14	100279958	100291456	ENSG00000259052.1	-	100279958
chr14	100323338	100330421	ENSG00000140107.12	+	100330421
chr14	100998466	100998541	ENSG00000222185.1	+	100998541
chr14	101120839	101123545	ENSG00000259004.2	+	101123545
chr14	101442075	101444315	ENSG00000259082.1	+	101444315
chr14	101560138	101563452	ENSG00000197406.8	+	101563452
chr14	101730436	101732534	ENSG00000258512.2	+	101732534
chr14	101948308	101949568	ENSG00000271780.2	+	101949568
chr14	102501766	102509799	ENSG00000156381.9	-	102501766
chr14	102922662	102933596	ENSG00000166126.11	+	102933596
chr14	103120846	103123007	ENSG00000259717.1	-	103120846
chr14	103687575	103688127	ENSG00000270108.1	+	103688127
chr14	103696352	103697163	ENSG00000269958.1	+	103697163
chr14	103940425	103942561	ENSG00000227729.5	-	103940425
chr14	104579763	104590515	ENSG00000184601.11	+	104590515
chr14	104842662	104845916	ENSG00000258811.1	+	104845916
chr14	104857791	104858836	ENSG00000258593.2	-	104857791
chr14	105110346	105110807	ENSG00000280244.1	-	105110346
chr14	105526582	105530198	ENSG00000184986.12	+	105530198
chr14	105583730	105588395	ENSG00000211890.4	-	105583730
chr14	105597690	105601728	ENSG00000211891.6	-	105597690
chr14	105703994	105708665	ENSG00000211895.5	-	105703994
chr14	105764502	105771405	ENSG00000211897.9	-	105764502
chr14	105836764	105845677	ENSG00000211898.8	-	105836764
chr14	105969728	105972269	ENSG00000290844.1	-	105969728
chr15	20531855	20541800	ENSG00000277322.1	-	20531855
chr15	20940379	21058440	ENSG00000258710.8	+	21058440
chr15	21368458	21370621	ENSG00000268531.3	+	21370621
chr15	21405400	21440499	ENSG00000278522.5	-	21405400
chr15	21552814	21557161	ENSG00000284988.1	+	21557161
chr15	21846328	21877735	ENSG00000233917.9	-	21846328
chr15	21990073	22059831	ENSG00000284500.3	+	22059831
chr15	22070240	22083221	ENSG00000274102.3	+	22083221
chr15	22094521	22095862	ENSG00000183706.6	+	22095862
chr15	22458902	22469226	ENSG00000277865.6	+	22469226
chr15	23157365	23170711	ENSG00000290359.1	+	23170711
chr15	23643548	23647867	ENSG00000254585.5	-	23643548
chr15	24675774	24683393	ENSG00000185823.5	+	24683393
chr15	24848354	24852253	ENSG00000280118.3	+	24852253
chr15	25080141	25080233	ENSG00000206621.1	+	25080233
chr15	25087660	25088896	ENSG00000261069.3	+	25088896
chr15	25088803	25088895	ENSG00000277785.1	+	25088895
chr15	25345632	25347235	ENSG00000261529.1	-	25345632
chr15	25865294	25877211	ENSG00000259011.1	+	25877211
chr15	26557597	26557937	ENSG00000278840.1	-	26557597
chr15	26657029	26658763	ENSG00000235518.2	-	26657029
chr15	27362309	27366398	ENSG00000261426.1	+	27366398
chr15	27418795	27420735	ENSG00000258970.1	-	27418795
chr15	27422380	27428338	ENSG00000259152.1	+	27428338
chr15	27483034	27541991	ENSG00000259168.1	-	27483034
chr15	28519610	28533014	ENSG00000183629.14	-	28519610
chr15	29373601	29376956	ENSG00000259690.1	-	29373601
chr15	29609675	29611212	ENSG00000259814.1	-	29609675
chr15	29728185	29729531	ENSG00000259644.1	-	29728185
chr15	30170562	30179943	ENSG00000259906.1	-	30170562
chr15	30487962	30490313	ENSG00000270055.1	+	30490313
chr15	30477820	30507623	ENSG00000290876.1	+	30507623
chr15	30616957	30617749	ENSG00000269930.1	+	30617749
chr15	31202933	31230886	ENSG00000259772.8	-	31202933
chr15	33850537	33851178	ENSG00000276702.1	-	33850537
chr15	33972058	33972515	ENSG00000278472.1	-	33972058
chr15	34343314	34357737	ENSG00000184507.17	+	34357737
chr15	34651134	34671095	ENSG00000261304.2	-	34651134
chr15	34751031	34754998	ENSG00000159248.5	-	34751031
chr15	34978350	34980084	ENSG00000279364.1	+	34980084
chr15	35007843	35011191	ENSG00000259587.3	+	35011191
chr15	35939166	36252257	ENSG00000259639.6	-	35939166
chr15	36341738	36344166	ENSG00000259395.1	+	36344166
chr15	36438971	36471016	ENSG00000259737.7	-	36438971
chr15	36641185	36669097	ENSG00000261191.1	-	36641185
chr15	37109586	37109984	ENSG00000274444.1	+	37109984
chr15	38756551	38759413	ENSG00000259731.2	-	38756551
chr15	38851305	38853432	ENSG00000274281.1	-	38851305
chr15	39167675	39180048	ENSG00000259423.3	+	39180048
chr15	38628004	39180499	ENSG00000175779.5	+	39180499
chr15	39250681	39254845	ENSG00000175746.7	+	39254845
chr15	39300417	39310782	ENSG00000259447.1	-	39300417
chr15	39472702	39497074	ENSG00000259269.2	+	39497074
chr15	39512334	39519954	ENSG00000259390.4	-	39512334
chr15	40232081	40236109	ENSG00000260648.3	+	40236109
chr15	40250663	40252969	ENSG00000176753.5	-	40250663
chr15	40285467	40285909	ENSG00000273855.1	-	40285467
chr15	40312614	40316634	ENSG00000259198.1	+	40316634
chr15	40351032	40356434	ENSG00000233041.8	+	40356434
chr15	40453443	40454639	ENSG00000259364.1	-	40453443
chr15	40488040	40558019	ENSG00000259536.5	+	40558019
chr15	40764067	40767708	ENSG00000137880.6	+	40767708
chr15	40769979	40772449	ENSG00000188277.10	+	40772449
chr15	40815450	40828709	ENSG00000166143.10	-	40815450
chr15	40874432	40874595	ENSG00000274798.1	+	40874595
chr15	40894449	40903975	ENSG00000104142.11	+	40903975
chr15	40929339	40939073	ENSG00000128917.8	+	40939073
chr15	40952961	40956512	ENSG00000128965.13	+	40956512
chr15	41011596	41013300	ENSG00000259463.1	+	41013300
chr15	41016989	41018843	ENSG00000280036.1	-	41016989
chr15	41016806	41027893	ENSG00000259521.1	+	41027893
chr15	41609456	41630908	ENSG00000260926.3	-	41609456
chr15	41837774	41848147	ENSG00000243708.11	+	41848147
chr15	41848145	41894053	ENSG00000137877.10	-	41848145
chr15	41981393	42051190	ENSG00000188089.14	-	41981393
chr15	41972762	41999094	ENSG00000246740.2	+	41999094
chr15	42067008	42094562	ENSG00000159337.7	-	42067008
chr15	42724101	42724922	ENSG00000278769.1	+	42724922
chr15	42726582	42727211	ENSG00000274403.1	+	42727211
chr15	43276270	43302255	ENSG00000159495.8	-	43276270
chr15	43599562	43618800	ENSG00000242866.10	-	43599562
chr15	43692885	43699222	ENSG00000223572.10	+	43699222
chr15	43794161	43800220	ENSG00000184716.14	-	43794161
chr15	44825746	44884694	ENSG00000290387.1	-	44825746
chr15	44956686	44979229	ENSG00000167014.11	+	44979229
chr15	45114325	45118421	ENSG00000140274.14	+	45118421
chr15	45198516	45199139	ENSG00000259932.1	-	45198516
chr15	45200324	45200632	ENSG00000260035.1	-	45200324
chr15	45558597	45562877	ENSG00000259681.1	+	45562877
chr15	45585756	45586304	ENSG00000275709.1	-	45585756
chr15	45702639	45703183	ENSG00000273972.1	+	45703183
chr15	48729079	48729844	ENSG00000259469.1	-	48729079
chr15	48810700	48811909	ENSG00000259700.3	+	48811909
chr15	49343607	49344254	ENSG00000275580.1	+	49344254
chr15	49877298	49883525	ENSG00000259188.6	+	49883525
chr15	50241946	50265965	ENSG00000140287.11	-	50241946
chr15	50746708	50749829	ENSG00000259773.1	+	50749829
chr15	51278926	51280015	ENSG00000259701.1	-	51278926
chr15	51455267	51460582	ENSG00000259668.6	+	51460582
chr15	51414096	51498833	ENSG00000259678.1	+	51498833
chr15	51707994	51715220	ENSG00000259296.1	-	51707994
chr15	51833133	51833426	ENSG00000274954.1	+	51833426
chr15	51887559	51901123	ENSG00000259201.1	-	51887559
chr15	52010998	52019095	ENSG00000259438.1	-	52010998
chr15	52017166	52018032	ENSG00000274528.1	-	52017166
chr15	52109262	52112775	ENSG00000137875.4	-	52109262
