Chromosome	Start	End	Strand	gene_id	transcript_id
chr4	6687447	6690544	-	ENSG00000246526.3	ENST00000499502.3
chr4	6697860	6698809	-	ENSG00000282742.1	ENST00000632627.1
chr4	6985912	6987052	-	ENSG00000287104.2	ENST00000664676.2
chr4	7030553	7046231	-	ENSG00000245748.1	ENST00000500031.1
chr4	7040848	7043001	-	ENSG00000173013.6	ENST00000310085.6
chr4	7112087	7112399	-	ENSG00000200867.1	ENST00000363997.1
chr4	7430284	7434930	-	ENSG00000178597.7	ENST00000319098.7
chr4	8005300	8005381	-	ENSG00000207807.1	ENST00000385072.1
chr4	8355089	8358338	-	ENSG00000251615.3	ENST00000505448.3
chr4	8453409	8454942	-	ENSG00000251186.1	ENST00000515186.1
chr4	8858714	8860827	-	ENSG00000258507.1	ENST00000557144.1
chr4	9020856	9021161	-	ENSG00000271057.1	ENST00000603502.1
chr4	9051841	9052051	-	ENSG00000250342.1	ENST00000506029.1
chr4	9166296	9170270	-	ENSG00000250268.3	ENST00000514230.1
chr4	9384016	9388983	-	ENSG00000219492.4	ENST00000508324.1
chr4	9411177	9411253	-	ENSG00000252307.1	ENST00000516498.1
chr4	9553613	9553985	-	ENSG00000242034.1	ENST00000463958.1
chr4	9556167	9556316	-	ENSG00000221275.1	ENST00000408348.1
chr4	9567473	9691786	-	ENSG00000287117.1	ENST00000653847.1
chr4	9583941	9584131	-	ENSG00000249799.1	ENST00000505417.1
chr4	9703753	9710812	-	ENSG00000251087.3	ENST00000503331.1
chr4	9711952	9712233	-	ENSG00000203436.2	ENST00000356560.3
chr4	9792750	9792861	-	ENSG00000252002.1	ENST00000516193.1
chr4	10078610	10078692	-	ENSG00000264931.1	ENST00000585238.1
chr4	10115755	10115884	-	ENSG00000223086.1	ENST00000411154.1
chr4	10143366	10143655	-	ENSG00000250393.1	ENST00000511779.1
chr4	10167158	10167765	-	ENSG00000251296.1	ENST00000511169.1
chr4	10199822	10200672	-	ENSG00000248777.1	ENST00000511870.1
chr4	10238212	10238235	-	ENSG00000271544.1	ENST00000603775.1
chr4	10254925	10256621	-	ENSG00000250040.2	ENST00000508566.2
chr4	10259444	10260138	-	ENSG00000250573.1	ENST00000510947.1
chr4	10267894	10268231	-	ENSG00000250074.1	ENST00000513470.1
chr4	10284960	10285708	-	ENSG00000250505.1	ENST00000506077.1
chr4	10292194	10292708	-	ENSG00000251278.1	ENST00000505037.1
chr4	10294462	10295579	-	ENSG00000251338.1	ENST00000512421.1
chr4	10478523	10478923	-	ENSG00000248419.2	ENST00000509222.2
chr4	11414050	11414160	-	ENSG00000222182.1	ENST00000410250.1
chr4	11740947	11769468	-	ENSG00000248300.1	ENST00000506195.1
chr4	12640297	12640637	-	ENSG00000249780.1	ENST00000509155.1
chr4	12859100	12864961	-	ENSG00000250371.1	ENST00000506899.1
chr4	12947573	12948670	-	ENSG00000250098.1	ENST00000503163.1
chr4	13540829	13544508	-	ENSG00000109705.8	ENST00000382438.6
chr4	13631819	13632599	-	ENSG00000249148.2	ENST00000510061.2
chr4	13647696	13648400	-	ENSG00000242209.1	ENST00000491925.1
chr4	13777376	13782157	-	ENSG00000250497.1	ENST00000508202.1
chr4	14383122	14409078	-	ENSG00000251412.1	ENST00000507932.1
chr4	14505864	14506480	-	ENSG00000251252.1	ENST00000512602.1
chr4	15093766	15094094	-	ENSG00000199420.1	ENST00000362550.1
chr4	15358140	15420032	-	ENSG00000251379.1	ENST00000515495.1
chr4	15492728	15492972	-	ENSG00000249930.1	ENST00000512110.1
chr4	15563697	15564253	-	ENSG00000273133.1	ENST00000609724.1
chr4	15730961	15731627	-	ENSG00000214846.4	ENST00000498116.1
chr4	15864937	15865940	-	ENSG00000251644.1	ENST00000509498.1
chr4	15935576	15938740	-	ENSG00000137440.5	ENST00000382333.2
chr4	16114232	16117479	-	ENSG00000286280.1	ENST00000666747.1
chr4	16256307	16256555	-	ENSG00000242358.1	ENST00000487122.1
chr4	16973274	17073903	-	ENSG00000249998.1	ENST00000511735.1
chr4	17320745	17320882	-	ENSG00000206780.1	ENST00000384053.1
chr4	17427695	17428274	-	ENSG00000215278.4	ENST00000485777.1
chr4	17552116	17552752	-	ENSG00000249488.1	ENST00000509863.1
chr4	17557891	17558045	-	ENSG00000283219.1	ENST00000637708.1
chr4	17629305	17781621	-	ENSG00000047662.5	ENST00000265018.4
chr4	18488061	18489508	-	ENSG00000251048.1	ENST00000503815.1
chr4	19181813	19181856	-	ENSG00000251816.1	ENST00000516007.1
chr4	19257950	19258337	-	ENSG00000279379.1	ENST00000623088.1
chr4	19747178	19754591	-	ENSG00000249441.1	ENST00000508374.1
chr4	20037559	20037972	-	ENSG00000250611.1	ENST00000504991.1
chr4	21464699	21464758	-	ENSG00000283281.1	ENST00000636158.1
chr4	21520853	21523709	-	ENSG00000286318.1	ENST00000668733.1
chr4	21656510	21656869	-	ENSG00000242768.2	ENST00000489014.2
chr4	21843340	21853188	-	ENSG00000280650.1	ENST00000627566.1
chr4	22727374	22727950	-	ENSG00000237350.1	ENST00000421246.1
chr4	23234624	23285573	-	ENSG00000249547.1	ENST00000512563.1
chr4	23514939	23515284	-	ENSG00000251220.2	ENST00000515267.2
chr4	23723261	23733579	-	ENSG00000251292.1	ENST00000507666.1
chr4	24520191	24520290	-	ENSG00000207697.1	ENST00000384964.1
chr4	24563192	24563461	-	ENSG00000243005.3	ENST00000476316.3
chr4	24658071	24658375	-	ENSG00000249256.2	ENST00000514223.2
chr4	25598563	25598625	-	ENSG00000238632.1	ENST00000459120.1
chr4	25686201	25686458	-	ENSG00000249277.1	ENST00000511788.1
chr4	25718081	25719745	-	ENSG00000250050.1	ENST00000507819.1
chr4	25719754	25720030	-	ENSG00000248133.1	ENST00000508209.1
chr4	25720098	25720431	-	ENSG00000251353.1	ENST00000512798.1
chr4	25720515	25721056	-	ENSG00000248654.1	ENST00000510977.1
chr4	25864880	25869550	-	ENSG00000251009.2	ENST00000503085.1
chr4	26481395	26490484	-	ENSG00000163394.6	ENST00000295589.4
chr4	26873560	26874349	-	ENSG00000248340.2	ENST00000511723.2
chr4	27133995	27140051	-	ENSG00000251080.1	ENST00000506878.1
chr4	27207504	27218404	-	ENSG00000205830.1	ENST00000382007.1
chr4	27223318	27223427	-	ENSG00000222206.1	ENST00000410274.1
chr4	27262505	27267254	-	ENSG00000251325.1	ENST00000513616.1
chr4	28580990	28600845	-	ENSG00000286141.1	ENST00000652166.1
chr4	28823243	28824211	-	ENSG00000250927.1	ENST00000503460.1
chr4	29010618	29011021	-	ENSG00000276507.1	ENST00000610373.1
chr4	29465700	29467850	-	ENSG00000251113.2	ENST00000515413.2
chr4	29907658	29907791	-	ENSG00000249564.1	ENST00000510945.1
chr4	29962643	29963758	-	ENSG00000244031.3	ENST00000472594.3
chr4	30006950	30008316	-	ENSG00000248281.1	ENST00000505272.1
chr4	30718804	30721970	-	ENSG00000286596.1	ENST00000660555.1
chr4	30776256	30793970	-	ENSG00000249678.1	ENST00000509136.1
chr4	30884442	30885182	-	ENSG00000250624.1	ENST00000513621.1
chr4	32005075	32022483	-	ENSG00000286212.2	ENST00000652083.2
chr4	33010947	33011746	-	ENSG00000250076.1	ENST00000506459.1
chr4	33238238	33238670	-	ENSG00000249452.2	ENST00000515630.2
chr4	34140597	34180729	-	ENSG00000287320.1	ENST00000655242.1
chr4	34966240	34966344	-	ENSG00000238694.1	ENST00000458842.1
chr4	36065059	36065726	-	ENSG00000248466.1	ENST00000514630.1
chr4	36311189	36392410	-	ENSG00000251438.1	ENST00000504344.1
chr4	36426365	36426428	-	ENSG00000283207.1	ENST00000636325.1
chr4	36902241	36913339	-	ENSG00000287416.1	ENST00000661752.1
chr4	37241909	37241991	-	ENSG00000264319.1	ENST00000582704.1
chr4	37454697	37476401	-	ENSG00000288073.1	ENST00000662093.1
chr4	37588086	37588875	-	ENSG00000248936.1	ENST00000503034.1
chr4	37699894	37700002	-	ENSG00000207075.1	ENST00000384347.1
chr4	37866560	37867091	-	ENSG00000279386.1	ENST00000623925.1
chr4	37995493	37996203	-	ENSG00000251332.1	ENST00000505310.1
chr4	38006783	38007105	-	ENSG00000249649.1	ENST00000507850.1
chr4	38276177	38279880	-	ENSG00000287659.1	ENST00000670635.1
chr4	38618264	38619437	-	ENSG00000271958.1	ENST00000515436.3
chr4	38758790	38758892	-	ENSG00000222230.1	ENST00000410298.1
chr4	39297604	39297711	-	ENSG00000206675.1	ENST00000383948.1
chr4	39539394	39546073	-	ENSG00000287262.1	ENST00000662380.1
chr4	39710084	39710176	-	ENSG00000252975.1	ENST00000517166.1
chr4	39713841	39714451	-	ENSG00000249019.2	ENST00000513977.2
chr4	39770080	39771371	-	ENSG00000180610.10	ENST00000314232.7
chr4	39973127	39973442	-	ENSG00000250568.1	ENST00000510152.1
chr4	40142197	40142365	-	ENSG00000248977.1	ENST00000507583.1
chr4	40377451	40377513	-	ENSG00000239010.1	ENST00000459104.1
chr4	40502039	40502119	-	ENSG00000263642.1	ENST00000581881.1
chr4	40743626	40750865	-	ENSG00000287182.1	ENST00000653270.1
chr4	40826654	40826765	-	ENSG00000207195.1	ENST00000384466.1
chr4	41143021	41143099	-	ENSG00000289761.1	ENST00000699219.1
chr4	41303236	41303337	-	ENSG00000207481.1	ENST00000384750.1
chr4	41608311	41612411	-	ENSG00000287762.1	ENST00000669369.1
chr4	41688857	41692797	-	ENSG00000249216.1	ENST00000506475.1
chr4	41722537	41723512	-	ENSG00000249081.1	ENST00000506803.1
chr4	41771944	41772103	-	ENSG00000200338.1	ENST00000363468.1
chr4	41842153	41843950	-	ENSG00000249745.1	ENST00000507778.1
chr4	41988740	41989237	-	ENSG00000272862.1	ENST00000608029.1
chr4	42285817	42292644	-	ENSG00000289643.2	ENST00000685812.2
chr4	42561456	42562425	-	ENSG00000248283.2	ENST00000512846.2
chr4	43410040	43410937	-	ENSG00000213851.3	ENST00000468126.1
chr4	43457526	43492543	-	ENSG00000248143.1	ENST00000508563.1
chr4	43598543	43598844	-	ENSG00000239464.3	ENST00000494487.3
chr4	44693945	44694386	-	ENSG00000273369.1	ENST00000610260.1
chr4	44840379	44841402	-	ENSG00000249729.2	ENST00000512950.2
chr4	44944014	44944961	-	ENSG00000248987.2	ENST00000507189.2
chr4	45323252	45326028	-	ENSG00000248320.1	ENST00000503971.1
chr4	45414336	45414910	-	ENSG00000224560.3	ENST00000512696.1
chr4	46035768	46124054	-	ENSG00000163285.8	ENST00000295452.5
chr4	46243547	46244215	-	ENSG00000260878.1	ENST00000568817.1
chr4	46531236	46531342	-	ENSG00000252243.1	ENST00000516434.1
chr4	46723829	46724408	-	ENSG00000249936.3	ENST00000511164.1
chr4	47490966	47491471	-	ENSG00000242431.2	ENST00000486904.2
chr4	47556730	47560259	-	ENSG00000248254.1	ENST00000508081.1
chr4	47840121	47844339	-	ENSG00000259959.1	ENST00000563286.1
chr4	48106080	48106188	-	ENSG00000200269.1	ENST00000363399.1
chr4	48109352	48109410	-	ENSG00000283499.1	ENST00000637764.1
chr4	48574452	48574520	-	ENSG00000251722.1	ENST00000515913.1
chr4	48852007	48860203	-	ENSG00000248256.1	ENST00000513576.1
chr4	48932754	48932854	-	ENSG00000252913.1	ENST00000517104.1
chr4	49016681	49017154	-	ENSG00000225455.3	ENST00000513630.1
chr4	49203170	49203726	-	ENSG00000249828.2	ENST00000512142.2
chr4	49212250	49212624	-	ENSG00000249079.1	ENST00000508739.1
chr4	49233288	49233965	-	ENSG00000250016.2	ENST00000510867.2
chr4	49238031	49245419	-	ENSG00000237961.4	ENST00000506408.2
chr4	49486925	49489554	-	ENSG00000248583.1	ENST00000399720.4
chr4	49502144	49506022	-	ENSG00000251056.1	ENST00000511745.1
chr4	49507763	49508806	-	ENSG00000250769.2	ENST00000514077.2
chr4	49523647	49523857	-	ENSG00000248532.2	ENST00000504529.2
chr4	49524029	49524185	-	ENSG00000269848.1	ENST00000597032.1
chr4	49548563	49548855	-	ENSG00000268967.1	ENST00000600494.1
chr4	49548917	49549435	-	ENSG00000268391.1	ENST00000509488.2
chr4	49561284	49561470	-	ENSG00000251630.1	ENST00000416712.2
chr4	51865049	51865535	-	ENSG00000250473.1	ENST00000507982.1
chr4	51978078	51978372	-	ENSG00000243929.1	ENST00000473096.1
chr4	52252819	52551574	-	ENSG00000287999.1	ENST00000660768.1
chr4	52440493	52441535	-	ENSG00000251286.2	ENST00000507811.2
chr4	52712712	52722377	-	ENSG00000286161.1	ENST00000651729.1
chr4	52720080	52720831	-	ENSG00000248375.1	ENST00000512377.1
chr4	53265460	53265567	-	ENSG00000207385.1	ENST00000384655.1
chr4	53927498	53928138	-	ENSG00000250815.1	ENST00000508433.1
chr4	53986586	53987058	-	ENSG00000229585.4	ENST00000491826.2
chr4	53997414	53997712	-	ENSG00000272650.1	ENST00000609843.1
chr4	54440501	54446723	-	ENSG00000251264.1	ENST00000512628.1
chr4	54603210	54607131	-	ENSG00000250456.1	ENST00000508484.1
chr4	54976158	54976371	-	ENSG00000244422.3	ENST00000484463.3
chr4	55031964	55032071	-	ENSG00000252815.1	ENST00000517006.1
chr4	55215623	55215919	-	ENSG00000239545.3	ENST00000475674.3
chr4	55313010	55313924	-	ENSG00000250464.1	ENST00000514850.1
chr4	55351811	55352408	-	ENSG00000251111.2	ENST00000510322.2
chr4	55501594	55501708	-	ENSG00000238585.1	ENST00000459424.1
chr4	55540501	55540835	-	ENSG00000223305.1	ENST00000411373.1
chr4	55556518	55592245	-	ENSG00000163440.12	ENST00000295645.9
chr4	55889742	55903177	-	ENSG00000286599.1	ENST00000668940.1
chr4	55938152	55947996	-	ENSG00000287382.1	ENST00000669835.1
chr4	56288484	56288584	-	ENSG00000252489.1	ENST00000516680.1
chr4	56291600	56299873	-	ENSG00000286093.1	ENST00000651073.1
chr4	56320718	56321334	-	ENSG00000250324.2	ENST00000505398.2
chr4	56466899	56467578	-	ENSG00000289393.1	ENST00000687687.1
chr4	56662468	56665694	-	ENSG00000280285.1	ENST00000624463.1
chr4	56701544	56703971	-	ENSG00000288944.1	ENST00000685954.1
chr4	56760918	56761485	-	ENSG00000227040.4	ENST00000514020.1
chr4	56794347	56794642	-	ENSG00000240545.3	ENST00000460700.3
chr4	56818217	56818314	-	ENSG00000251799.1	ENST00000515990.1
chr4	56960926	56961373	-	ENSG00000269949.1	ENST00000602820.1
chr4	56963349	56977606	-	ENSG00000084092.7	ENST00000264230.5
chr4	57352998	57353329	-	ENSG00000243920.2	ENST00000497656.2
chr4	57595939	57605872	-	ENSG00000251049.2	ENST00000509641.2
chr4	58117757	58118070	-	ENSG00000249105.2	ENST00000514266.2
chr4	58524514	58536328	-	ENSG00000250340.1	ENST00000509824.1
chr4	58562159	58565212	-	ENSG00000250078.2	ENST00000508292.2
chr4	59047019	59075256	-	ENSG00000250375.2	ENST00000502668.2
chr4	59150923	59180414	-	ENSG00000286097.1	ENST00000651732.1
chr4	59551141	59630324	-	ENSG00000249392.1	ENST00000504537.1
chr4	59767815	59792114	-	ENSG00000249892.1	ENST00000511603.1
chr4	59903403	59920670	-	ENSG00000287174.1	ENST00000652799.1
chr4	61420245	61428221	-	ENSG00000205682.2	ENST00000381217.2
chr4	61775448	61775850	-	ENSG00000226439.3	ENST00000461060.1
chr4	62105659	62106049	-	ENSG00000225405.3	ENST00000470598.1
chr4	62454244	62454403	-	ENSG00000288567.1	ENST00000673976.1
chr4	62489494	62490218	-	ENSG00000248847.2	ENST00000512059.2
chr4	64397693	64397787	-	ENSG00000252104.1	ENST00000516295.1
chr4	64607702	64608831	-	ENSG00000251385.2	ENST00000509187.2
chr4	64609453	64610532	-	ENSG00000250169.1	ENST00000513046.1
chr4	64610615	64610909	-	ENSG00000248259.1	ENST00000514859.1
chr4	64610979	64611308	-	ENSG00000249045.1	ENST00000506306.1
chr4	64611373	64611888	-	ENSG00000248328.1	ENST00000513351.1
chr4	64767129	64767897	-	ENSG00000244669.1	ENST00000473356.1
chr4	64836360	64883916	-	ENSG00000286664.1	ENST00000666578.1
chr4	65034633	65036017	-	ENSG00000248447.2	ENST00000513297.2
chr4	65142702	65145763	-	ENSG00000248998.2	ENST00000514817.2
chr4	65225866	65241814	-	ENSG00000285711.1	ENST00000649562.1
chr4	65807239	65807435	-	ENSG00000222765.1	ENST00000410833.1
chr4	66169777	66329377	-	ENSG00000287383.1	ENST00000662838.1
chr4	67429590	67429754	-	ENSG00000206629.1	ENST00000383902.1
chr4	67607855	67610313	-	ENSG00000279464.1	ENST00000623308.1
chr4	67716374	67717388	-	ENSG00000250656.2	ENST00000513810.2
chr4	67718995	67724262	-	ENSG00000270228.1	ENST00000603040.1
chr4	67725182	67726395	-	ENSG00000270292.1	ENST00000603790.1
chr4	67766479	67773854	-	ENSG00000232398.1	ENST00000453277.1
chr4	67991683	68015768	-	ENSG00000229009.8	ENST00000431070.6
chr4	67991811	67997487	-	ENSG00000290400.1	ENST00000502496.1
chr4	68049705	68050478	-	ENSG00000283131.1	ENST00000637599.1
chr4	68053197	68129869	-	ENSG00000198092.6	ENST00000356291.3
chr4	68184080	68217913	-	ENSG00000250026.6	ENST00000514295.5
chr4	68282460	68285959	-	ENSG00000250642.3	ENST00000506095.3
chr4	68304342	68304939	-	ENSG00000248122.1	ENST00000513530.1
chr4	68509440	68517647	-	ENSG00000250566.1	ENST00000509021.1
chr4	68615392	68616137	-	ENSG00000251101.1	ENST00000504399.1
chr4	68626846	68628899	-	ENSG00000251074.1	ENST00000510547.1
chr4	68646596	68670652	-	ENSG00000196620.10	ENST00000338206.6
chr4	68704599	68712498	-	ENSG00000248635.1	ENST00000509261.1
chr4	68834212	68834368	-	ENSG00000251424.1	ENST00000512503.1
chr4	68861331	68861610	-	ENSG00000249235.1	ENST00000309229.6
chr4	68877625	68880131	-	ENSG00000251529.1	ENST00000503319.1
chr4	68883884	68884440	-	ENSG00000248547.2	ENST00000504736.2
chr4	68900650	68900910	-	ENSG00000248613.1	ENST00000511911.1
chr4	68901007	68906983	-	ENSG00000272626.1	ENST00000608365.1
chr4	68907917	68908034	-	ENSG00000249985.1	ENST00000514659.1
chr4	68914927	68924741	-	ENSG00000198277.6	ENST00000511202.1
chr4	68972998	68975993	-	ENSG00000251498.1	ENST00000515628.1
chr4	68985008	68988533	-	ENSG00000249735.1	ENST00000503544.1
chr4	68996934	68997709	-	ENSG00000250277.2	ENST00000509604.2
chr4	69004861	69020414	-	ENSG00000251685.3	ENST00000505092.1
chr4	69021655	69022340	-	ENSG00000249890.1	ENST00000503426.1
chr4	69215907	69216635	-	ENSG00000268803.1	ENST00000514003.2
chr4	69306468	69307173	-	ENSG00000251691.2	ENST00000509304.2
chr4	69517666	69518400	-	ENSG00000248886.2	ENST00000510485.2
chr4	69572390	69585527	-	ENSG00000251177.2	ENST00000506662.2
chr4	69791871	69813888	-	ENSG00000236959.1	ENST00000458020.1
chr4	69810779	69847786	-	ENSG00000284695.1	ENST00000506796.5
chr4	69955255	69965728	-	ENSG00000135222.7	ENST00000353151.4
chr4	70703017	70703123	-	ENSG00000207058.1	ENST00000384330.1
chr4	70703746	70704491	-	ENSG00000272986.1	ENST00000609599.1
chr4	70848135	70848218	-	ENSG00000283313.1	ENST00000637524.1
chr4	70899215	70902252	-	ENSG00000289019.1	ENST00000691317.1
chr4	71300257	71301235	-	ENSG00000249170.1	ENST00000514650.1
chr4	71434404	71437924	-	ENSG00000270098.1	ENST00000602428.1
chr4	71759517	71759616	-	ENSG00000222236.1	ENST00000410304.1
chr4	71821304	71823980	-	ENSG00000248567.1	ENST00000507156.1
chr4	73337232	73337771	-	ENSG00000249976.2	ENST00000510511.2
chr4	73706322	73709526	-	ENSG00000289530.1	ENST00000690247.1
chr4	73777635	73778060	-	ENSG00000249051.2	ENST00000508565.2
chr4	73938603	73939558	-	ENSG00000249920.2	ENST00000505935.2
chr4	73944010	73944324	-	ENSG00000250339.2	ENST00000502804.2
chr4	73986438	73988190	-	ENSG00000163736.4	ENST00000296028.4
chr4	73995641	73998677	-	ENSG00000163735.7	ENST00000296027.5
chr4	74054037	74055399	-	ENSG00000290910.1	ENST00000513150.1
chr4	74054040	74054820	-	ENSG00000248848.2	ENST00000514391.1
chr4	74085994	74086672	-	ENSG00000251017.1	ENST00000514414.1
chr4	74156510	74158373	-	ENSG00000269559.2	ENST00000600169.2
chr4	74418916	74440457	-	ENSG00000250532.1	ENST00000508581.1
chr4	74552583	74589481	-	ENSG00000249942.1	ENST00000510419.1
chr4	74993876	75034824	-	ENSG00000248165.1	ENST00000513770.1
chr4	75269067	75361182	-	ENSG00000251185.1	ENST00000505930.1
chr4	75341278	75359024	-	ENSG00000251454.1	ENST00000509215.1
chr4	75361206	75434449	-	ENSG00000248646.1	ENST00000510744.1
chr4	75662119	75662213	-	ENSG00000201644.2	ENST00000364774.2
chr4	75829453	75829589	-	ENSG00000222644.1	ENST00000410712.1
chr4	76001274	76007509	-	ENSG00000138755.6	ENST00000264888.6
chr4	76021117	76023497	-	ENSG00000169245.6	ENST00000306602.3
chr4	76036749	76037064	-	ENSG00000225846.4	ENST00000477971.3
chr4	76240739	76312098	-	ENSG00000287401.1	ENST00000670253.1
chr4	76305886	76306591	-	ENSG00000289515.2	ENST00000685094.2
chr4	76356609	76356715	-	ENSG00000212368.1	ENST00000391066.1
chr4	76509283	76509719	-	ENSG00000249278.1	ENST00000513916.1
chr4	76532221	76532327	-	ENSG00000207307.1	ENST00000384577.1
chr4	76758553	76801964	-	ENSG00000224218.1	ENST00000449007.1
chr4	76886028	76886370	-	ENSG00000270244.1	ENST00000604442.1
chr4	76894151	76898144	-	ENSG00000186212.4	ENST00000334306.4
chr4	76958859	76959169	-	ENSG00000234036.4	ENST00000510190.1
chr4	77082402	77083126	-	ENSG00000214062.5	ENST00000470927.2
chr4	77112494	77113458	-	ENSG00000271676.1	ENST00000603335.1
chr4	77150327	77150437	-	ENSG00000201641.1	ENST00000364771.1
chr4	77216415	77216878	-	ENSG00000270669.1	ENST00000603341.1
chr4	77311396	77312111	-	ENSG00000250006.2	ENST00000503840.2
chr4	77350369	77351235	-	ENSG00000248831.2	ENST00000506035.2
chr4	77394490	77494286	-	ENSG00000249036.1	ENST00000513871.1
chr4	77702745	77702803	-	ENSG00000221711.1	ENST00000408784.1
chr4	77864507	77864804	-	ENSG00000250214.1	ENST00000508230.1
chr4	77957999	77958780	-	ENSG00000248926.1	ENST00000503825.1
chr4	77987859	77988813	-	ENSG00000248640.1	ENST00000505767.1
chr4	78008511	78008688	-	ENSG00000249072.1	ENST00000510231.1
chr4	78180865	78182046	-	ENSG00000249565.2	ENST00000510079.2
chr4	78632272	78632385	-	ENSG00000200998.1	ENST00000364128.1
chr4	78648953	78649242	-	ENSG00000251019.1	ENST00000509878.1
chr4	78669689	78691671	-	ENSG00000287632.1	ENST00000660086.1
chr4	78773653	78775973	-	ENSG00000260278.1	ENST00000564925.1
chr4	79406360	79408228	-	ENSG00000196475.6	ENST00000358842.5
chr4	79587301	79588091	-	ENSG00000290776.1	ENST00000601375.1
chr4	79587756	79588130	-	ENSG00000249646.3	ENST00000502331.2
chr4	80386177	80388716	-	ENSG00000232327.4	ENST00000506637.2
chr4	81733384	81734207	-	ENSG00000248282.1	ENST00000514835.1
chr4	81919994	81920387	-	ENSG00000248448.2	ENST00000507622.2
chr4	82010664	82013095	-	ENSG00000248543.2	ENST00000512920.2
chr4	82344875	82346842	-	ENSG00000273156.2	ENST00000610058.2
chr4	82348251	82349441	-	ENSG00000289480.1	ENST00000685826.1
chr4	82401577	82402456	-	ENSG00000250325.1	ENST00000503202.1
chr4	82402637	82402706	-	ENSG00000202440.1	ENST00000365570.1
chr4	82490822	82491635	-	ENSG00000214988.4	ENST00000488538.1
chr4	82566384	82570618	-	ENSG00000289186.1	ENST00000689583.1
chr4	82580116	82581384	-	ENSG00000248113.2	ENST00000506227.2
chr4	82753336	82753430	-	ENSG00000207746.1	ENST00000385013.1
chr4	82944737	82944845	-	ENSG00000199530.1	ENST00000362660.1
chr4	83233511	83247213	-	ENSG00000250057.1	ENST00000515670.1
chr4	83369415	83369523	-	ENSG00000274154.1	ENST00000615297.1
chr4	83377362	83378076	-	ENSG00000251647.2	ENST00000513707.2
chr4	83636195	83636290	-	ENSG00000201633.1	ENST00000364763.1
chr4	83668509	83731755	-	ENSG00000249171.1	ENST00000510169.1
chr4	84371392	84380189	-	ENSG00000248749.1	ENST00000504840.1
chr4	84544303	84544519	-	ENSG00000258013.2	ENST00000550415.2
chr4	84687724	84688000	-	ENSG00000239466.3	ENST00000462094.3
chr4	84886385	84886486	-	ENSG00000252062.1	ENST00000516253.1
chr4	86336317	86336614	-	ENSG00000252757.1	ENST00000516948.1
chr4	86542481	86542552	-	ENSG00000266515.1	ENST00000583004.1
chr4	86913265	86914817	-	ENSG00000251411.1	ENST00000514631.1
chr4	86949668	86950113	-	ENSG00000235043.3	ENST00000513307.1
chr4	87261930	87266822	-	ENSG00000250572.1	ENST00000503666.1
chr4	87300494	87300583	-	ENSG00000263981.1	ENST00000579870.1
chr4	87317169	87345210	-	ENSG00000255723.1	ENST00000508163.1
chr4	87386882	87387174	-	ENSG00000240966.3	ENST00000482763.3
chr4	87460806	87462280	-	ENSG00000272856.1	ENST00000609450.1
chr4	87743951	87744053	-	ENSG00000200024.1	ENST00000363154.1
chr4	87785919	87786371	-	ENSG00000249973.2	ENST00000508008.2
chr4	87974384	88008477	-	ENSG00000286618.1	ENST00000662475.1
chr4	88006142	88007459	-	ENSG00000289034.1	ENST00000690508.1
chr4	88206426	88206552	-	ENSG00000221440.1	ENST00000408513.1
chr4	88220568	88223837	-	ENSG00000251285.2	ENST00000509147.2
chr4	88275204	88275308	-	ENSG00000200469.1	ENST00000363599.1
chr4	88330175	88330278	-	ENSG00000207480.1	ENST00000384749.1
chr4	88352221	88358423	-	ENSG00000287181.1	ENST00000667541.1
chr4	88358944	88361304	-	ENSG00000286978.1	ENST00000664130.1
chr4	88508590	88510403	-	ENSG00000249934.2	ENST00000340589.4
chr4	88520997	88523776	-	ENSG00000145337.5	ENST00000273968.5
chr4	88520997	88523776	-	ENSG00000255072.2	ENST00000527353.2
chr4	88583665	88583972	-	ENSG00000252322.1	ENST00000516513.1
chr4	88684847	88684954	-	ENSG00000207524.1	ENST00000384793.1
chr4	88695912	88697829	-	ENSG00000177432.8	ENST00000323061.7
chr4	89582506	89704590	-	ENSG00000288563.1	ENST00000673949.1
chr4	90838902	90839037	-	ENSG00000187653.11	ENST00000402089.4
chr4	91108022	91112790	-	ENSG00000248984.1	ENST00000515111.1
chr4	91319033	91325306	-	ENSG00000249049.1	ENST00000502368.1
chr4	91885045	91885254	-	ENSG00000249891.2	ENST00000510983.2
chr4	92182476	92184052	-	ENSG00000248817.1	ENST00000508114.1
chr4	92260366	92260751	-	ENSG00000280056.1	ENST00000624435.1
chr4	92268766	92277075	-	ENSG00000249152.1	ENST00000502518.1
chr4	92297250	92304178	-	ENSG00000248511.1	ENST00000504213.1
chr4	92821985	92822918	-	ENSG00000249239.2	ENST00000510601.2
chr4	92833684	92838842	-	ENSG00000248627.1	ENST00000502570.1
chr4	93318622	93319786	-	ENSG00000250908.1	ENST00000505498.1
chr4	94117791	94207556	-	ENSG00000246541.2	ENST00000501965.2
chr4	94195939	94196513	-	ENSG00000250897.2	ENST00000507326.2
chr4	94743667	94757681	-	ENSG00000249599.2	ENST00000510795.2
chr4	95644951	95645293	-	ENSG00000242936.1	ENST00000475925.1
chr4	95868666	95868764	-	ENSG00000200622.1	ENST00000363752.1
chr4	96152296	96152403	-	ENSG00000201744.1	ENST00000364874.1
chr4	96348733	96349038	-	ENSG00000201640.2	ENST00000364770.2
chr4	97916352	97917401	-	ENSG00000250293.1	ENST00000504217.1
